1.	com	6017	60.17
2.	net	473	4.73
3.	ru	327	3.27
4.	org	282	2.82
5.	de	256	2.56
6.	jp	213	2.13
7.	cn	150	1.50
8.	br	144	1.44
9.	fr	132	1.32
10.	uk	118	1.18
11.	pl	103	1.03
12.	it	97	0.97
13.	in	87	0.87
14.	es	74	0.74
15.	ir	72	0.72
16.	tv	67	0.67
17.	edu	56	0.56
18.	mx	49	0.49
19.	gr	45	0.45
20.	me	44	0.44
21.	info	44	0.44
22.	au	44	0.44
23.	tw	42	0.42
24.	gov	41	0.41
25.	cz	40	0.40
26.	vn	40	0.40
27.	ca	38	0.38
28.	tr	35	0.35
29.	se	32	0.32
30.	nl	31	0.31
31.	eu	29	0.29
32.	cc	26	0.26
33.	ua	23	0.23
34.	be	23	0.23
35.	hu	22	0.22
36.	ro	22	0.22
37.	ar	21	0.21
38.	za	20	0.20
39.	az	20	0.20
40.	ch	19	0.19
41.	kr	19	0.19
42.	biz	19	0.19
43.	us	18	0.18
44.	at	17	0.17
45.	to	17	0.17
46.	id	17	0.17
47.	co	15	0.15
48.	cl	15	0.15
49.	no	15	0.15
50.	pt	14	0.14
