1.	com	57478	57.48
2.	net	5503	5.50
3.	ru	3288	3.29
4.	org	3204	3.20
5.	de	2649	2.65
6.	jp	1934	1.93
7.	br	1586	1.59
8.	uk	1329	1.33
9.	cn	1295	1.30
10.	fr	1191	1.19
11.	it	1134	1.13
12.	pl	1046	1.05
13.	info	1026	1.03
14.	in	949	0.95
15.	ir	789	0.79
16.	es	731	0.73
17.	au	581	0.58
18.	tv	578	0.58
19.	nl	547	0.55
20.	edu	504	0.50
21.	mx	462	0.46
22.	gr	446	0.45
23.	ca	415	0.41
24.	tw	410	0.41
25.	me	407	0.41
26.	co	400	0.40
27.	cz	348	0.35
28.	vn	344	0.34
29.	ro	331	0.33
30.	se	323	0.32
31.	biz	307	0.31
32.	tr	292	0.29
33.	us	290	0.29
34.	hu	282	0.28
35.	eu	282	0.28
36.	ua	277	0.28
37.	ar	254	0.25
38.	za	229	0.23
39.	cc	212	0.21
40.	ch	211	0.21
41.	gov	208	0.21
42.	be	202	0.20
43.	no	190	0.19
44.	at	190	0.19
45.	az	183	0.18
46.	kr	183	0.18
47.	cl	178	0.18
48.	id	170	0.17
49.	dk	162	0.16
50.	fi	150	0.15
